order_details_id,order_id,pizza_typecode,quantity,pizza_typeid
1,1,hawaiian_m,1,26
2,2,classic_dlx_m,1,23
3,2,five_cheese_l,1,72
4,2,ital_supr_l,1,51
5,2,mexicana_m,1,86
6,2,thai_ckn_l,1,18
7,3,ital_supr_m,1,50
8,3,prsc_argla_l,1,57
9,4,ital_supr_m,1,50
10,5,ital_supr_m,1,50
11,6,bbq_ckn_s,1,1
12,6,the_greek_s,1,40
13,7,spinach_supr_s,1,67
14,8,spinach_supr_s,1,67
15,9,classic_dlx_s,1,22
16,9,green_garden_s,1,76
17,9,ital_cpcllo_l,1,30
18,9,ital_supr_l,1,51
19,9,ital_supr_s,1,49
20,9,mexicana_s,1,85
21,9,spicy_ital_l,1,66
22,9,spin_pesto_l,1,90
23,9,veggie_veg_s,1,94
24,10,mexicana_l,1,87
25,10,southw_ckn_l,1,15
26,11,bbq_ckn_l,1,3
27,11,cali_ckn_l,1,6
28,11,cali_ckn_m,1,5
29,11,pepperoni_l,1,39
30,12,cali_ckn_l,1,6
31,12,cali_ckn_s,1,4
32,12,ckn_pesto_l,1,12
33,12,ital_supr_m,1,50
34,13,mexicana_l,1,87
35,14,the_greek_s,1,40
36,15,big_meat_s,1,19
37,15,five_cheese_l,1,72
38,15,soppressata_l,1,63
39,15,the_greek_s,1,40
40,16,four_cheese_l,1,75
41,16,napolitana_s,1,31
42,16,thai_ckn_l,1,18
43,17,bbq_ckn_l,1,3
44,17,calabrese_m,1,47
45,17,five_cheese_l,1,72
46,17,four_cheese_m,1,74
47,17,ital_supr_m,1,50
48,17,ital_veggie_s,1,79
49,17,mediterraneo_m,2,83
50,17,mexicana_l,1,87
51,17,peppr_salami_s,1,52
52,17,spinach_fet_l,1,93
53,18,napolitana_l,1,33
54,19,ital_cpcllo_l,1,30
55,19,sicilian_l,1,60
56,20,big_meat_s,1,19
57,20,five_cheese_l,1,72
58,21,ital_cpcllo_l,1,30
59,22,five_cheese_l,1,72
60,22,ital_cpcllo_m,1,29
61,22,southw_ckn_l,1,15
62,23,southw_ckn_s,1,13
63,24,bbq_ckn_m,1,2
64,24,ital_cpcllo_m,1,29
65,24,pepperoni_m,1,38
66,24,prsc_argla_s,1,55
67,25,sicilian_m,1,59
68,25,thai_ckn_l,1,18
69,26,classic_dlx_s,1,22
70,26,veggie_veg_l,1,96
71,27,bbq_ckn_l,1,3
72,27,classic_dlx_m,1,23
73,27,spinach_fet_l,1,93
74,28,ckn_alfredo_s,1,7
75,29,green_garden_s,1,76
76,30,thai_ckn_l,1,18
77,31,mexicana_m,1,86
78,31,pepperoni_s,1,37
79,32,big_meat_s,1,19
80,32,green_garden_l,1,78
81,32,ital_cpcllo_l,1,30
82,32,ital_supr_m,1,50
83,33,bbq_ckn_l,1,3
84,33,green_garden_s,1,76
85,34,the_greek_s,1,40
86,35,green_garden_m,1,77
87,35,pep_msh_pep_l,1,36
88,35,pepperoni_m,1,38
89,35,thai_ckn_l,1,18
90,36,bbq_ckn_m,1,2
91,36,classic_dlx_m,1,23
92,37,ital_supr_l,1,51
93,37,mexicana_l,1,87
94,38,hawaiian_s,1,25
95,38,ital_cpcllo_l,1,30
96,39,ital_supr_l,1,51
97,40,four_cheese_l,1,75
98,40,southw_ckn_s,1,13
99,41,four_cheese_m,1,74
100,41,green_garden_s,1,76
101,42,big_meat_s,1,19
